zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,latLong,variableData,hdpData,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,timeOnZillow,rentalMarketingSubType,marketingTreatments,availabilityDate,plid,minBeds,minBaths,minArea,lotId,badgeInfo,buildingName,buildingId,isBuilding,canSaveBuilding,unitCount,streetViewURL,streetViewMetadataURL,info3String
2053659690,ForRent,For Rent,https://photos.zillowstatic.com/fp/e2677830b84c49464fb0ae4d55d17f6b-p_e.jpg,True,/apartments/seattle-wa/rowlock/Ch2dvh/,FOR_RENT,Apartment for rent,"$2,014/mo",$2.0K,"3620 Phinney Ave N #114, Seattle, WA 98103",1.0,1.0,468.0,"{'latitude': 47.652916, 'longitude': -122.35414}","{'type': 'TIME_ON_INFO', 'data': {'isRead': None, 'isFresh': False}}","{'homeInfo': {'zpid': 2053659690, 'streetAddress': '3620 Phinney Ave N #114', 'zipcode': '98103', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.652916, 'longitude': -122.35414, 'price': 2014.0, 'datePriceChanged': 1732089600000, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 468.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'priceReduction': '$100 (Nov 20)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2014.0, 'priceChange': -100, 'timeOnZillow': 34752288000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 114', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,False,False,True,False,,False,False,34752288000,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPinnaclePackage']",,,,,,,,,,,,,,,
2119517635,ForRent,For Rent,https://photos.zillowstatic.com/fp/869a0cecde7d0c066d9d7db73df9fbb8-p_e.jpg,True,/apartments/seattle-wa/wil-wiloma/5XxhDQ/,FOR_RENT,Apartment for rent,"$1,495/mo",$1.5K,"201 Aloha St APT 7, Seattle, WA 98109",1.0,1.0,550.0,"{'latitude': 47.627003, 'longitude': -122.35238}","{'type': 'TIME_ON_INFO', 'text': '10 days ago', 'data': {'isRead': None, 'isFresh': False}}","{'homeInfo': {'zpid': 2119517635, 'streetAddress': '201 Aloha St APT 7', 'zipcode': '98109', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.627003, 'longitude': -122.35238, 'price': 1495.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 550.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 2100, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1495.0, 'timeOnZillow': 912790000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 7', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,False,False,True,False,,False,False,912790000,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",2025-02-10 00:00:00,,,,,,,,,,,,,,
,,,https://photos.zillowstatic.com/fp/ff8c9499fad49d39393253e498ba99a8-p_e.jpg,True,/apartments/seattle-wa/tellus-on-dexter/9VWkXM/,FOR_RENT,Tellus on Dexter,"$2,000+/mo",,"403 Dexter Ave N, Seattle, WA",,,,"{'latitude': 47.622475, 'longitude': -122.34279}","{'type': '3D_HOME', 'text': '3D Tour'}",,,,,,,True,,False,False,True,False,,False,,789737000,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremiumPlusPackage']",,5gv63kkyqs9dz,1.0,1.0,508.0,2118710919.0,"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}",Tellus on Dexter,47.622475--122.34279,True,True,5.0,,,
,,,https://photos.zillowstatic.com/fp/d4d27a4c1be62ec31ddf5375f7fb50c7-p_e.jpg,True,/apartments/seattle-wa/skyline-house/5XkJp2/,FOR_RENT,Skyline House,"$1,975+/mo",,"600 W Olympic Pl, Seattle, WA",,,,"{'latitude': 47.627636, 'longitude': -122.36518}",{'type': 'TIME_ON_INFO'},,,,,,,False,,False,False,True,False,,False,,2863424000,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPinnaclePackage']",,1uc5dhrjvh15m,1.0,1.0,700.0,1001581462.0,"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}",Skyline House,47.627636--122.36518,True,True,2.0,,,
,,,https://photos.zillowstatic.com/fp/bae182c520d6011a4350f06f4fa6c6b8-p_e.jpg,True,/apartments/seattle-wa/110-roy/Ch8BZS/,FOR_RENT,110 Roy,"$2,285+/mo",,"110 Roy St, Seattle, WA",,,,"{'latitude': 47.625565, 'longitude': -122.35474}",{'type': 'TIME_ON_INFO'},,,,,,,False,,False,False,True,False,,False,,1638773000,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPinnaclePackage']",,2476msq5e9g6f,1.0,1.0,603.0,2739006971.0,"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",110 Roy,47.625565--122.35474,True,True,127.0,,,
2057859591,ForRent,For Rent,https://photos.zillowstatic.com/fp/5f31ef6aadeade8b759736b7ed4e57e7-p_e.jpg,True,/apartments/seattle-wa/hamrick-and-halmark/9VXL6J/,FOR_RENT,Apartment for rent,"$2,195/mo",$2.2K,"705 2nd Ave W APT 305, Seattle, WA 98119",1.0,1.0,650.0,"{'latitude': 47.625954, 'longitude': -122.3597}","{'type': 'TIME_ON_INFO', 'data': {'isRead': None, 'isFresh': False}}","{'homeInfo': {'zpid': 2057859591, 'streetAddress': '705 2nd Ave W APT 305', 'zipcode': '98119', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.625954, 'longitude': -122.3597, 'price': 2195.0, 'datePriceChanged': 1735286400000, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 650.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1693, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2195.0, 'priceChange': 200, 'timeOnZillow': 4180684000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 305', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,False,False,True,False,,False,False,4180684000,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",2025-01-17 00:00:00,,,,,,,,,,,,,,
,,,https://photos.zillowstatic.com/fp/71d639b697f976434d22d9845bc64b95-p_e.jpg,True,"/b/building/47.626595,-122.35522_ll/",FOR_RENT,Vali Hai,"$2,000+/mo",,"800 1st Ave N, Seattle, WA",,,,"{'latitude': 47.626595, 'longitude': -122.35522}",{'type': 'TIME_ON_INFO'},,,,,,,False,,False,False,True,False,,False,,29834217000,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,q7ybnyk231uj,1.0,1.0,,,,Vali Hai,47.626595--122.35522,True,False,2.0,,,
,,,https://photos.zillowstatic.com/fp/457021855f608ff36891e743d8bd06c1-p_e.jpg,True,/apartments/seattle-wa/astro-apartments/Ch5fCx/,FOR_RENT,Astro Apartments,"$2,000+/mo",,"315 1st Ave N, Seattle, WA",,,,"{'latitude': 47.621513, 'longitude': -122.35574}",{'type': 'TIME_ON_INFO'},,,,,,,False,,False,False,True,False,,False,,8675703000,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,2sbtjgyyt7y2z,1.0,1.0,596.0,2738710741.0,"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Astro Apartments,47.621513--122.35574,True,True,11.0,,,
2077428622,ForRent,For Rent,https://photos.zillowstatic.com/fp/a51fe726f12b87dc0b80439e0ff9edd3-p_e.jpg,True,/apartments/seattle-wa/saxonia-apartments/5fzZF8/,FOR_RENT,Apartment for rent,"$2,595/mo",$2.6K,"303 W Olympic Pl #307, Seattle, WA 98119",1.0,1.0,660.0,"{'latitude': 47.626534, 'longitude': -122.36088}","{'type': 'TIME_ON_INFO', 'text': '19 days ago', 'data': {'isRead': None, 'isFresh': False}}","{'homeInfo': {'zpid': 2077428622, 'streetAddress': '303 W Olympic Pl #307', 'zipcode': '98119', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.626534, 'longitude': -122.36088, 'price': 2595.0, 'datePriceChanged': 1736755200000, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 660.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1773, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2595.0, 'priceChange': 45, 'timeOnZillow': 1647661000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 307', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,False,False,True,False,,False,False,1647661000,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",2025-02-15 00:00:00,,,,,,,,,,,,,,
,,,https://photos.zillowstatic.com/fp/3cd1616c55f2679da3ccd34d0381e44e-p_e.jpg,True,/apartments/seattle-wa/stellar/Cghn8g/,FOR_RENT,Stellar,"$1,995+/mo",,"1405 Dexter Ave N, Seattle, WA",,,,"{'latitude': 47.631638, 'longitude': -122.3427}","{'type': '3D_HOME', 'text': '3D Tour'}",,,,,,,True,,False,False,True,False,,False,,192583000,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,wpw23j19rtcx,1.0,1.0,493.0,2736607305.0,"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Stellar,47.631638--122.3427,True,True,7.0,,,
