plid,imgSrc,hasImage,detailUrl,statusType,statusText,price,address,minBeds,minBaths,minArea,lotId,latLong,variableData,badgeInfo,buildingName,buildingId,isBuilding,canSaveBuilding,has3DModel,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,timeOnZillow,unitCount,rentalMarketingSubType,marketingTreatments,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,priceLabel,beds,baths,area,hdpData,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,hasVideo,visited,availabilityDate
5gv63kkyqs9dz,https://photos.zillowstatic.com/fp/ff8c9499fad49d39393253e498ba99a8-p_e.jpg,True,/apartments/seattle-wa/tellus-on-dexter/9VWkXM/,FOR_RENT,Tellus on Dexter,"$2,000+/mo","403 Dexter Ave N, Seattle, WA",1.0,1.0,508.0,2118710919.0,"{'latitude': 47.622475, 'longitude': -122.34279}","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}",Tellus on Dexter,47.622475--122.34279,True,True,True,False,False,True,False,,False,787380000,5.0,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremiumPlusPackage']",,,,,,,,,,,,,,,,
1whrhpanqcns7,https://photos.zillowstatic.com/fp/3a73d76ad8f7d0a9240dc411e7086edd-p_e.jpg,True,/apartments/seattle-wa/lake-union-terrace/5XjTSx/,FOR_RENT,Lake Union Terrace,"$1,750+/mo","210 E Blaine St, Seattle, WA",1.0,1.0,654.0,1001484635.0,"{'latitude': 47.635025, 'longitude': -122.32449}",{'type': 'TIME_ON_INFO'},"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Lake Union Terrace,47.635025--122.32449,True,True,False,False,False,True,False,,False,1978271000,3.0,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,,,,,,,,,,,,,,,
wpw23j19rtcx,https://photos.zillowstatic.com/fp/3cd1616c55f2679da3ccd34d0381e44e-p_e.jpg,True,/apartments/seattle-wa/stellar/Cghn8g/,FOR_RENT,Stellar,"$1,995+/mo","1405 Dexter Ave N, Seattle, WA",1.0,1.0,493.0,2736607305.0,"{'latitude': 47.631638, 'longitude': -122.3427}","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Stellar,47.631638--122.3427,True,True,True,False,False,True,False,,False,190226000,7.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,,,,,,,,,,,,,,,
3zpa3d7za4xb6,https://photos.zillowstatic.com/fp/9d250b643a8f17fe28f4ff8db5da2b04-p_e.jpg,True,/apartments/seattle-wa/leeward-apartments/9wc95w/,FOR_RENT,Leeward Apartments,"$2,123+/mo","1305 Dexter Ave N, Seattle, WA",1.0,1.0,519.0,2240289257.0,"{'latitude': 47.630806, 'longitude': -122.3425}","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Leeward Apartments,47.630806--122.3425,True,True,False,False,False,True,False,,False,101473000,21.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,,,,,,,,,,,,,,,
2rd5dvj4bpgjv,https://photos.zillowstatic.com/fp/701890c72026790d370efb289d6f4fb8-p_e.jpg,True,/apartments/seattle-wa/fox-and-finch/9VWkbJ/,FOR_RENT,Fox and Finch,"$2,275+/mo","525 Boren Ave N, Seattle, WA",1.0,1.0,660.0,2118711063.0,"{'latitude': 47.62372, 'longitude': -122.336}",{'type': 'TIME_ON_INFO'},"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}",Fox and Finch,47.62372--122.336,True,True,False,False,False,True,False,,False,7537680000,2.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,,,,,,,,,,,,,,,
12y70p0gz2t33,https://photos.zillowstatic.com/fp/58e2e7c956784dc83bd0b9c07771a54a-p_e.jpg,True,/apartments/seattle-wa/westlake-steps/B9yMXS/,FOR_RENT,Westlake Steps,"$2,129+/mo","1209 Westlake Ave N, Seattle, WA",1.0,1.0,510.0,2305727215.0,"{'latitude': 47.63064, 'longitude': -122.341515}","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Westlake Steps,47.63064--122.341515,True,True,True,False,False,True,False,,False,114961000,14.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,,,,,,,,,,,,,,,
,https://photos.zillowstatic.com/fp/f0e0c9128fdddda43a0b2f30d5ee3b1b-p_e.jpg,True,/apartments/seattle-wa/capitol-hill-park/5XnzZJ/,FOR_RENT,Apartment for rent,"$3,195/mo","311 Bellevue Ave E APT 502, Seattle, WA 98102",,,,,"{'latitude': 47.62129, 'longitude': -122.32696}","{'type': 'TIME_ON_INFO', 'data': {'isRead': None, 'isFresh': False}}",,,,,,False,False,False,True,False,,False,7589971000,,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",2101080229,ForRent,For Rent,$3.2K,2.0,2.0,1116.0,"{'homeInfo': {'zpid': 2101080229, 'streetAddress': '311 Bellevue Ave E APT 502', 'zipcode': '98102', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.62129, 'longitude': -122.32696, 'price': 3195.0, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 1116.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 3039, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 3195.0, 'timeOnZillow': 7589971000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 502', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,
,https://photos.zillowstatic.com/fp/d99fc520d78a5d5a0ee0ba1d00a3abc5-p_e.jpg,True,/apartments/seattle-wa/the-new-carroll-apartments/5XjRj4/,FOR_RENT,Apartment for rent,"$1,945/mo","305 Bellevue Ave E #C, Seattle, WA 98102",,,,,"{'latitude': 47.621048, 'longitude': -122.32675}","{'type': 'TIME_ON_INFO', 'text': '10 days ago', 'data': {'isRead': None, 'isFresh': False}}",,,,,,False,False,False,True,False,,False,910107000,,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",2071972950,ForRent,For Rent,$1.9K,1.0,1.0,678.0,"{'homeInfo': {'zpid': 2071972950, 'streetAddress': '305 Bellevue Ave E #C', 'zipcode': '98102', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.621048, 'longitude': -122.32675, 'price': 1945.0, 'datePriceChanged': 1737187200000, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 678.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1763, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1945.0, 'priceChange': 50, 'timeOnZillow': 910107000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# C', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,
4p4aeegp18ush,https://photos.zillowstatic.com/fp/294380cfa4752b37605482f3de2aacbe-p_e.jpg,True,/apartments/seattle-wa/la-veda-llc/5jF2TW/,FOR_RENT,La Veda LLC,"$1,795+/mo","308 Melrose Ave E, Seattle, WA",1.0,1.0,700.0,1050489073.0,"{'latitude': 47.621193, 'longitude': -122.32755}",{'type': 'TIME_ON_INFO'},"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}",La Veda LLC,47.621193--122.32755,True,True,False,False,False,True,False,,False,417664000,2.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,,,
,https://photos.zillowstatic.com/fp/a068db04dd23819a1fc5a422a47100d5-p_e.jpg,True,/apartments/seattle-wa/thunderbird-apartments/5jDzp7/,FOR_RENT,Apartment for rent,"$2,245/mo","315 Belmont Ave E APT 103, Seattle, WA 98102",,,,,"{'latitude': 47.62131, 'longitude': -122.32442}","{'type': '3D_HOME', 'text': '3D Tour'}",,,,,,True,False,False,True,False,,False,7044213000,,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",2098967807,ForRent,For Rent,$2.2K,1.0,1.0,625.0,"{'homeInfo': {'zpid': 2098967807, 'streetAddress': '315 Belmont Ave E APT 103', 'zipcode': '98102', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.62131, 'longitude': -122.32442, 'price': 2245.0, 'datePriceChanged': 1732262400000, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 625.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1665, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2245.0, 'priceChange': 50, 'timeOnZillow': 7044213000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 103', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,
