,Year,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,MCPP,100 Block Address,Longitude,Latitude
931655,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,VIRGINIA ST / 3RD AVE,-122.340892454,47.61239802
931690,2022,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,THOMAS ST / PONTIUS AVE N,-122.331703786,47.62081714
931712,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,5XX BLOCK OF DEXTER AVE N,-122.342355426,47.62388673
931713,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,5XX BLOCK OF DEXTER AVE N,-122.342355426,47.62388673
931714,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,4XX BLOCK OF CEDAR ST,-122.347419907,47.618274
931735,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,4XX BLOCK OF 8TH AVE N,-122.341060913,47.62263512
931744,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,21XX BLOCK OF 7TH AVE,-122.339404062,47.61621007
931785,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,4XX BLOCK OF VINE ST,-122.346675348,47.61757583
931804,2022,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
931869,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,3XX BLOCK OF CEDAR ST,-122.348468,47.617463
931883,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,5XX BLOCK OF VINE ST,-122.345805716,47.6182354
931896,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,5XX BLOCK OF MINOR AVE N,-122.333003305,47.62369234
931920,2022,A,PROPERTY,FRAUD OFFENSES,Wire Fraud,26E,SLU/CASCADE,5XX BLOCK OF WALL ST,-122.344882,47.617689
931935,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,3XX BLOCK OF BROAD ST,-122.3496067,47.61916268
931953,2022,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,3XX BLOCK OF 9TH AVE N,-122.339764556,47.62146252
932013,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,12XX BLOCK OF HARRISON ST,-122.332352257,47.62197081
932014,2022,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,SLU/CASCADE,12XX BLOCK OF HARRISON ST,-122.332352257,47.62197081
932020,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,25XX BLOCK OF 3RD AVE,-122.347496,47.616302
932045,2022,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,25XX BLOCK OF 4TH AVE,-122.3466378,47.61696696
932046,2022,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,12XX BLOCK OF EASTLAKE AVE E,-122.326713087,47.63139748
932068,2022,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,20XX BLOCK OF 4TH AVE,-122.340683,47.61344689
932154,2022,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,2XX BLOCK OF 8TH AVE N,-122.341081499,47.62029929
932174,2022,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,4XX BLOCK OF BLANCHARD ST,-122.3422045,47.61493269
932192,2022,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
