plid,imgSrc,hasImage,detailUrl,statusType,statusText,price,address,minBeds,minBaths,minArea,lotId,latLong,variableData,badgeInfo,buildingName,buildingId,isBuilding,canSaveBuilding,has3DModel,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,timeOnZillow,unitCount,rentalMarketingSubType,marketingTreatments,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,priceLabel,beds,baths,area,hdpData,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,hasVideo,visited,availabilityDate,info3String,streetViewURL,streetViewMetadataURL
1es12521m0a25,https://photos.zillowstatic.com/fp/79d4e8385bd574f74f0817c7f6443d99-p_e.jpg,True,/apartments/seattle-wa/ivy-ridge-apartments/5XjPwc/,FOR_RENT,Ivy Ridge Apartments,"$1,806+/mo","4730 21st Ave NE, Seattle, WA",1.0,1.0,581.0,1001476142.0,"{'latitude': 47.66381, 'longitude': -122.305046}",{'type': 'TIME_ON_INFO'},"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}",Ivy Ridge Apartments,47.66381--122.305046,True,True,False,False,False,True,False,,False,25549574000,29.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremiumPlusPackage']",,,,,,,,,,,,,,,,,,,
4ty1sf5wkm52p,https://photos.zillowstatic.com/fp/213b9b907bc51c62854dd4b5b175577f-p_e.jpg,True,/apartments/seattle-wa/coronado-and-valencia/5jF253/,FOR_RENT,Coronado & Valencia,"$1,555+/mo","2840 Eastlake Ave E, Seattle, WA",1.0,1.0,410.0,1050488069.0,"{'latitude': 47.646782, 'longitude': -122.32456}","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Coronado & Valencia,47.646782--122.32456,True,True,True,False,False,True,False,,False,5040466000,17.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,,,,,,,,,,,,,,,,,,
,https://photos.zillowstatic.com/fp/d9da3b6c26a66f48769b817e34deef85-p_e.jpg,True,/apartments/seattle-wa/the-shannon/ChbLHj/,FOR_RENT,Apartment for rent,"$2,095/mo","4219 7th Ave NE APT 201, Seattle, WA 98105",,,,,"{'latitude': 47.65805, 'longitude': -122.32115}","{'type': 'TIME_ON_INFO', 'data': {'isRead': None, 'isFresh': False}}",,,,,,False,False,False,True,False,,False,5545093000,,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",2088611014,ForRent,For Rent,$2.1K,2.0,1.0,850.0,"{'homeInfo': {'zpid': 2088611014, 'streetAddress': '4219 7th Ave NE APT 201', 'zipcode': '98105', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.65805, 'longitude': -122.32115, 'price': 2095.0, 'datePriceChanged': 1732608000000, 'bathrooms': 1.0, 'bedrooms': 2.0, 'livingArea': 850.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 2181, 'listing_sub_type': {}, 'priceReduction': '$80 (Nov 26)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2095.0, 'priceChange': -80, 'timeOnZillow': 5545093000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 201', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,,,,
5521c7t62extr,https://photos.zillowstatic.com/fp/c971711c7c776100d9b2daee91bd3edb-p_e.jpg,True,/apartments/seattle-wa/the-elizabeth/9VWKdQ/,FOR_RENT,The Elizabeth,"$2,195+/mo","2220 Minor Ave E, Seattle, WA",1.0,1.0,762.0,2118660746.0,"{'latitude': 47.63899, 'longitude': -122.32798}",{'type': 'TIME_ON_INFO'},"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}",The Elizabeth,47.63899--122.32798,True,True,False,False,False,True,False,,False,3130963000,2.0,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,,,,,,
1qgbybp4v4sh0,https://photos.zillowstatic.com/fp/38b43ba1ce4ca5ce41e51e524708aea3-p_e.jpg,True,/apartments/seattle-wa/50th-and-roosevelt/9VWWJb/,FOR_RENT,50th and Roosevelt,"$2,595+/mo","4750 Roosevelt Way NE, Seattle, WA",2.0,1.0,776.0,2118683932.0,"{'latitude': 47.66469, 'longitude': -122.31711}","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}",50th and Roosevelt,47.66469--122.31711,True,True,True,False,False,True,False,,False,4579484000,4.0,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyBasePackage']",,,,,,,,,,,,,,,,,,,
5e7gx7hu7wu1c,https://photos.zillowstatic.com/fp/23d38c544c9f6e1104717209322a29cc-p_e.jpg,True,/apartments/seattle-wa/cosmopolitan/5XjR3v/,FOR_RENT,Cosmopolitan,"$1,799+/mo","400 NE 45th St, Seattle, WA",1.0,1.0,635.0,1001478802.0,"{'latitude': 47.662086, 'longitude': -122.3237}","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Cosmopolitan,47.662086--122.3237,True,True,True,False,False,True,False,,False,11698286000,4.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,,,,,,
,https://photos.zillowstatic.com/fp/418bb69af37a679bfaa888ec13b191af-p_e.jpg,True,/apartments/seattle-wa/trinity-43rd-apartments/5XjLkK/,FOR_RENT,Apartment for rent,"$1,850+/mo","902 NE 43rd St, Seattle, WA 98105",,,,,"{'latitude': 47.65974, 'longitude': -122.31828}","{'type': 'TIME_ON_INFO', 'data': {'isRead': None, 'isFresh': False}}",,,,,,False,False,False,True,False,,False,6822796000,,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyBasePackage']",442436823,ForRent,For Rent,$1.9K,1.0,1.0,610.0,"{'homeInfo': {'zpid': 442436823, 'streetAddress': '902 NE 43rd St #1B-1BA-610SQFT', 'zipcode': '98105', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.65974, 'longitude': -122.31828, 'price': 1850.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 610.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1850.0, 'timeOnZillow': 6822796000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 1B-1Ba-610Sqft', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,,,,
4ztk27jbagnvb,https://photos.zillowstatic.com/fp/dc94e009418d952318392b321ef6499f-p_e.jpg,True,/apartments/seattle-wa/campus-view-i-and-ii/5XkJHS/,FOR_RENT,Campus View I & II,"$1,700+/mo","4322 7th Ave NE, Seattle, WA",1.0,1.0,530.0,1001580210.0,"{'latitude': 47.660023, 'longitude': -122.32051}","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}",Campus View I & II,47.660023--122.32051,True,True,True,False,False,True,False,,False,3379640000,15.0,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyBasePackage']",,,,,,,,,,,,,,,,,,,
4zyefr29bp740,https://photos.zillowstatic.com/fp/451244a3c86b70ce40609524c2f688b4-p_e.jpg,True,/apartments/seattle-wa/shelton-eastlake/CjVqGN/,FOR_RENT,Shelton Eastlake,"$1,759+/mo","2359 Franklin Ave E, Seattle, WA",1.0,1.0,544.0,2746965498.0,"{'latitude': 47.64146, 'longitude': -122.32496}",{'type': 'TIME_ON_INFO'},"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Shelton Eastlake,47.64146--122.32496,True,True,False,False,False,True,False,,False,8674286000,4.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,,,,,,,,,,,,,,,,,,
1nhdwpx6a01t4,https://photos.zillowstatic.com/fp/ab0a6a46cddbab891e8603492a7c6e0b-p_e.jpg,True,/apartments/seattle-wa/kelly-anne-apartments/5brZtL/,FOR_RENT,Kelly Anne Apartments,"$1,450+/mo","816 NE 43rd St, Seattle, WA",1.0,1.0,507.0,1019497936.0,"{'latitude': 47.65968, 'longitude': -122.31913}","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Kelly Anne Apartments,47.65968--122.31913,True,True,True,False,False,True,False,,False,767387000,3.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,,,,,,
