plid,imgSrc,hasImage,detailUrl,statusType,statusText,price,address,minBeds,minBaths,minArea,lotId,latLong,variableData,buildingName,buildingId,isBuilding,canSaveBuilding,has3DModel,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,timeOnZillow,unitCount,rentalMarketingSubType,marketingTreatments,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,priceLabel,beds,baths,area,hdpData,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,hasVideo,availabilityDate,visited,badgeInfo
sc8hed34j3bh,https://photos.zillowstatic.com/fp/6cc5fe45d8127fe33e45209a44d9f572-p_e.jpg,True,"/b/building/47.65993,-122.349815_ll/",FOR_RENT,A243 - FREMONT VILLAGE APARTMENTS,"$1,840+/mo","4316 Fremont Ave N, Seattle, WA",1.0,1.0,385.0,2734034268.0,"{'latitude': 47.65993, 'longitude': -122.349815}",{'type': 'TIME_ON_INFO'},A243 - FREMONT VILLAGE APARTMENTS,47.65993--122.349815,True,False,False,False,False,True,False,,False,863525000,2.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,,,,
,https://photos.zillowstatic.com/fp/47e7e6beb7f7e59a70e1b37e97998e33-p_e.jpg,True,/apartments/seattle-wa/pickering-place-apartments/5XkfmS/,FOR_RENT,Apartment for rent,"$2,095/mo","1307 N 43rd St APT 203, Seattle, WA 98103",,,,,"{'latitude': 47.659016, 'longitude': -122.34182}","{'type': 'TIME_ON_INFO', 'data': {'isRead': None, 'isFresh': False}}",,,,,False,False,False,True,False,,False,3937970000,,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",443269227,ForRent,For Rent,$2.1K,1.0,1.0,782.0,"{'homeInfo': {'zpid': 443269227, 'streetAddress': '1307 N 43rd St APT 203', 'zipcode': '98103', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.659016, 'longitude': -122.34182, 'price': 2095.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 782.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2095.0, 'timeOnZillow': 3937970000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 203', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,2025-01-10 00:00:00,False,
518d54bhms04a,https://photos.zillowstatic.com/fp/d3328ca3bb9118cb3755d18933664921-p_e.jpg,True,/apartments/seattle-wa/the-waterway-building/ChWxYB/,FOR_RENT,The Waterway Building,"$2,245+/mo","106 N 36th St, Seattle, WA",1.0,1.0,590.0,2741333477.0,"{'latitude': 47.653152, 'longitude': -122.357315}",{'type': 'TIME_ON_INFO'},The Waterway Building,47.653152--122.357315,True,True,False,False,False,True,False,,False,9396567000,2.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,,,,"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}"
5e7gx7hu7wu1c,https://photos.zillowstatic.com/fp/23d38c544c9f6e1104717209322a29cc-p_e.jpg,True,/apartments/seattle-wa/cosmopolitan/5XjR3v/,FOR_RENT,Cosmopolitan,"$1,799+/mo","400 NE 45th St, Seattle, WA",1.0,1.0,635.0,1001478802.0,"{'latitude': 47.662086, 'longitude': -122.3237}","{'type': '3D_HOME', 'text': '3D Tour'}",Cosmopolitan,47.662086--122.3237,True,True,True,False,False,True,False,,False,11698715000,4.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,,,,"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}"
tuh3w09pjgt8,https://photos.zillowstatic.com/fp/41eb01f0c5bf343af0ea86dd6f06d116-p_e.jpg,True,/apartments/seattle-wa/smith-and-burns/65d67d/,FOR_RENT,Smith and Burns,"$2,036+/mo","4455 Interlake Ave N, Seattle, WA",1.0,1.0,505.0,1150852398.0,"{'latitude': 47.661026, 'longitude': -122.34115}","{'type': '3D_HOME', 'text': '3D Tour'}",Smith and Burns,47.661026--122.34115,True,True,True,False,False,True,False,,False,169350000,8.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily']",,,,,,,,,,,,,,,,,"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}"
15ybur2sm9aqg,https://photos.zillowstatic.com/fp/479b497e82d218f3a1d408b95c8d22c0-p_e.jpg,True,/apartments/seattle-wa/chinook-ballard/9VWbp9/,FOR_RENT,Chinook Ballard,"$1,483+/mo","1446 NW 53rd St, Seattle, WA",1.0,1.0,362.0,2118694739.0,"{'latitude': 47.66739, 'longitude': -122.37572}",{'type': 'TIME_ON_INFO'},Chinook Ballard,47.66739--122.37572,True,True,False,False,False,True,False,,False,11569925000,3.0,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,,,,,,,,,,,,,,,,"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}"
,https://photos.zillowstatic.com/fp/a9424b6f50cfb7020fbf592abc11f9a3-p_e.jpg,True,/apartments/seattle-wa/vintage-wallingford/9ggNnr/,FOR_RENT,Apartment for rent,"$1,700/mo","1707 N 45th St APT 5, Seattle, WA 98103",,,,,"{'latitude': 47.661053, 'longitude': -122.33699}","{'type': 'TIME_ON_INFO', 'text': '24 days ago', 'data': {'isRead': None, 'isFresh': False}}",,,,,False,False,False,True,False,,False,2135428000,,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",2060534568,ForRent,For Rent,$1.7K,1.0,1.0,542.0,"{'homeInfo': {'zpid': 2060534568, 'streetAddress': '1707 N 45th St APT 5', 'zipcode': '98103', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.661053, 'longitude': -122.33699, 'price': 1700.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 542.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1689, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1700.0, 'timeOnZillow': 2135428000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 5', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,2025-01-06 00:00:00,False,
1ua3rztjs3p6x,https://photos.zillowstatic.com/fp/3c63bc590a8956f3cf24b8c267ee2484-p_e.jpg,True,/apartments/seattle-wa/windsor-ballard/5XkGWV/,FOR_RENT,Windsor Ballard,"$2,170+/mo","5555 14th Ave NW, Seattle, WA",1.0,1.0,690.0,1001575998.0,"{'latitude': 47.669075, 'longitude': -122.3743}","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",Windsor Ballard,47.669075--122.3743,True,True,False,False,False,True,False,,False,112718000,13.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily']",,,,,,,,,,,,,,,,,"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}"
31dj5d9g5hgpj,https://photos.zillowstatic.com/fp/37329851c9716ba341228d4a8cd7dd18-p_e.jpg,True,/apartments/seattle-wa/broadstone-vin/9VWPWM/,FOR_RENT,Broadstone Vin,"$2,184+/mo","4106 Stone Way N, Seattle, WA",1.0,1.0,511.0,2118670053.0,"{'latitude': 47.657124, 'longitude': -122.34189}","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",Broadstone Vin,47.657124--122.34189,True,True,False,False,False,True,False,,False,118132000,14.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPayPerLease']",,,,,,,,,,,,,,,,,"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}"
3zs7vv9ubfjyg,https://photos.zillowstatic.com/fp/925418bbb3090a39fa74149b52a82255-p_e.jpg,True,/apartments/seattle-wa/ori-stone-way/CgxGGC/,FOR_RENT,Ori Stone Way,"$1,926+/mo","4453 Stone Way N, Seattle, WA",1.0,1.0,525.0,2737956937.0,"{'latitude': 47.660892, 'longitude': -122.34258}",{'type': 'TIME_ON_INFO'},Ori Stone Way,47.660892--122.34258,True,True,False,False,False,True,False,,False,3224340000,3.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,,,,"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}"
