plid,imgSrc,hasImage,detailUrl,statusType,statusText,price,address,minBeds,minBaths,minArea,lotId,latLong,variableData,badgeInfo,buildingName,buildingId,isBuilding,canSaveBuilding,has3DModel,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,timeOnZillow,unitCount,rentalMarketingSubType,marketingTreatments,zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,priceLabel,beds,baths,area,hdpData,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,hasVideo,availabilityDate,visited,info3String,streetViewURL,streetViewMetadataURL,Dist,latitude,longitude
1whrhpanqcns7,https://photos.zillowstatic.com/fp/3a73d76ad8f7d0a9240dc411e7086edd-p_e.jpg,True,/apartments/seattle-wa/lake-union-terrace/5XjTSx/,FOR_RENT,Lake Union Terrace,1750,"210 E Blaine St, Seattle, WA",1.0,1.0,654.0,1001484635.0,"{'latitude': 47.635025, 'longitude': -122.32449}",{'type': 'TIME_ON_INFO'},"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Lake Union Terrace,47.635025--122.32449,True,True,False,False,False,True,False,,False,1979682000,3.0,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,,,,,,,,,,,,,,,,,,,Capitol Hill,47.635025,-122.32449
8tthkgb77nbn,https://photos.zillowstatic.com/fp/1ce793494099c48539278eaa3424cb68-p_e.jpg,True,/apartments/seattle-wa/700-broadway-apartments/5Xk2NJ/,FOR_RENT,700 Broadway Apartments,2525,"700 Broadway E, Seattle, WA",1.0,1.0,669.0,1001546833.0,"{'latitude': 47.62535, 'longitude': -122.320854}",{'type': 'TIME_ON_INFO'},"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}",700 Broadway Apartments,47.62535--122.320854,True,True,False,False,False,True,False,,False,3184914000,3.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,,,,,,,,,,,,,,,,,,,Capitol Hill,47.62535,-122.320854
,https://photos.zillowstatic.com/fp/48a6b32925d561a6d2109da1f52f31cc-p_e.jpg,True,/apartments/seattle-wa/ht-hawthorne-apartments/5XjW8Q/,FOR_RENT,Apartment for rent,2250,"1618 Bellevue Ave APT 712, Seattle, WA 98122",,,,,"{'latitude': 47.61578, 'longitude': -122.32645}","{'type': 'TIME_ON_INFO', 'data': {'isRead': None, 'isFresh': False}}",,,,,,False,False,False,True,False,,False,3861331000,,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",2072005318.0,ForRent,For Rent,$2.3K,1.0,1.0,635.0,"{'homeInfo': {'zpid': 2072005318, 'streetAddress': '1618 Bellevue Ave APT 712', 'zipcode': '98122', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.61578, 'longitude': -122.32645, 'price': 2250.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 635.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1945, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2250.0, 'timeOnZillow': 3861331000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 712', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,2025-01-10 00:00:00,False,,,,Capitol Hill,47.61578,-122.32645
8bywxf039squ,https://photos.zillowstatic.com/fp/104dfc85eda8f56e48d749f732b3283e-p_e.jpg,True,/apartments/seattle-wa/1711-12th-apartments/5ZXMs4/,FOR_RENT,1711 12th Apartments,1749,"1711 12th Ave, Seattle, WA",1.0,1.0,440.0,1011941926.0,"{'latitude': 47.617046, 'longitude': -122.31728}","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",1711 12th Apartments,47.617046--122.31728,True,True,True,False,False,True,False,,False,2707482000,3.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPinnaclePackage']",,,,,,,,,,,,,,,,,,,,Capitol Hill,47.617046,-122.31728
2vtyg7c6w6kvt,https://photos.zillowstatic.com/fp/ea1812a4c6ba3147029a33de1fde26ce-p_e.jpg,True,/apartments/seattle-wa/ramayana-apartments/5ZnpT7/,FOR_RENT,Ramayana Apartments,1995,"119 Harvard Ave E, Seattle, WA",1.0,1.0,750.0,1013405608.0,"{'latitude': 47.619343, 'longitude': -122.322525}",{'type': 'TIME_ON_INFO'},"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}",Ramayana Apartments,47.619343--122.322525,True,True,False,False,False,True,False,,False,860429000,2.0,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,,,,,,,Capitol Hill,47.619343,-122.322525
2ng7s9g1614bb,https://photos.zillowstatic.com/fp/454ddb547374c15f458389e0fd20453a-p_e.jpg,True,/apartments/seattle-wa/summit-place/9P5zyz/,FOR_RENT,Summit Place,1795,"1629 Summit Ave, Seattle, WA",1.0,1.0,600.0,2087328508.0,"{'latitude': 47.616154, 'longitude': -122.32588}","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}",Summit Place,47.616154--122.32588,True,True,True,False,False,True,False,,False,11738685000,4.0,unknown,"['trustedListing', 'paid', 'zillowRentalManager', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,,,,,,,Capitol Hill,47.616154,-122.32588
,https://photos.zillowstatic.com/fp/1f89edff2ba1015734da062cc0f50142-p_e.jpg,True,/apartments/seattle-wa/three20/5XrYBH/,FOR_RENT,Apartment for rent,2078,"320 E Pine St #1-325, Seattle, WA 98122",,,,,"{'latitude': 47.615524, 'longitude': -122.32715}","{'type': 'TIME_ON_INFO', 'text': '6 hours ago', 'data': {'isRead': None, 'isFresh': True}}",,,,,,False,False,False,True,False,,False,22023000,,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",2080119603.0,ForRent,For Rent,$2.1K,1.0,1.0,596.0,"{'homeInfo': {'zpid': 2080119603, 'streetAddress': '320 E Pine St #1-325', 'zipcode': '98122', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.615524, 'longitude': -122.32715, 'price': 2078.0, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 596.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 2059, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2078.0, 'timeOnZillow': 22023000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 1-325', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,2025-03-05 00:00:00,False,,,,Capitol Hill,47.615524,-122.32715
1cpy7g16edhr0,https://photos.zillowstatic.com/fp/81ba47fe0f4b12af76ddc9085ca6ee4b-p_e.jpg,True,/apartments/seattle-wa/excelsior/5Y2bYg/,FOR_RENT,Excelsior,2259,"1535 Bellevue Ave, Seattle, WA",1.0,1.0,549.0,1003146359.0,"{'latitude': 47.614956, 'longitude': -122.32704}",{'type': 'TIME_ON_INFO'},"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Excelsior,47.614956--122.32704,True,True,False,False,False,True,False,,False,9168525000,7.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPremium']",,,,,,,,,,,,,,,,,,,,Capitol Hill,47.614956,-122.32704
4qzeyj920ec1q,https://photos.zillowstatic.com/fp/7fa1c3139c560e9b68c3f6b01a9b2316-p_e.jpg,True,/apartments/seattle-wa/harvard-vista/5XmPZX/,FOR_RENT,Harvard Vista,1895,"212 Harvard Ave E, Seattle, WA",1.0,1.0,510.0,1001710603.0,"{'latitude': 47.620476, 'longitude': -122.32189}",{'type': 'TIME_ON_INFO'},"{'type': 'UNIT_AVAILABILITY', 'text': 'Unit availability'}",Harvard Vista,47.620476--122.32189,True,True,False,False,False,True,False,,False,2164533000,4.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyEnhancedPackage']",,,,,,,,,,,,,,,,,,,,Capitol Hill,47.620476,-122.32189
3qs900vfk7c1h,https://photos.zillowstatic.com/fp/a1d8be391765bdfaa0eea80232c6b729-p_e.jpg,True,/apartments/seattle-wa/reo-flats/5fxLxp/,FOR_RENT,REO Flats,1900,"1525 14th Ave, Seattle, WA",1.0,1.0,581.0,1037351942.0,"{'latitude': 47.614883, 'longitude': -122.31445}",{'type': 'TIME_ON_INFO'},"{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",REO Flats,47.614883--122.31445,True,True,False,False,False,True,False,,False,3139065000,7.0,unknown,"['trustedListing', 'paid', 'multiFamilySalesListing', 'paidOrUnpaidMultifamily', 'paidMultifamily', 'multifamilyPinnaclePackage']",,,,,,,,,,,,,,,,,,,,Capitol Hill,47.614883,-122.31445
