Dist,providerListingId,detailUrl,address,addressStreet,addressCity,addressState,addressZipcode,latLong,buildingName,isBuilding,availabilityCount,isInstantTourEnabled,countryCurrency,price,unformattedPrice,isUndisclosedAddress,beds,baths,area,availabilityDate,latitude,longitude,crime_cnt_2b,safety_pr,nearest_supermarket,nearest_supermarket_distance_meters,supermarket_duration_seconds,supermarket_commute_fare,supermarket_location,nearest_park,nearest_park_distance_meters,nearest_park_seconds,park_commute_fare,park_location,office_trans_dist_car,office_trans_duration_car,office_trans_cost_car,office_trans_dist_transit,office_trans_duration_transit,office_trans_cost_transit,school_trans_dist_car,school_trans_duration_car,school_trans_cost_car,school_trans_dist_transit,school_trans_duration_transit,school_trans_cost_transit
SLU,sg3b5uee0v1n,https://www.zillow.com/homedetails/602-Melrose-Ave-E-APT-102-Seattle-WA-98102/2095219214_zpid/,"602 Melrose Ave E APT 102, Seattle, WA 98102",602 Melrose Ave E APT 102,Seattle,WA,98102,"{'latitude': 47.624454, 'longitude': -122.3276}",,,,,$,2695,2695.0,False,3.0,2.0,2100.0,2025-02-01 00:00:00,47.624454,-122.3276,7,29.89399293286219,Pike Grocery,426,371,,,First Hill Park,548.0,537.0,,"{'lat': 47.6119174, 'lng': -122.3255448}",1847,452,,1847,1278,,4607,645,,6601,1607,3.0
SLU,4qt479ezu6916,/apartments/seattle-wa/queens-oaks/9VWkf7/,"718 4th Ave N, Seattle, WA",718 4th Ave N  Apt 49,Seattle,WA,98109,"{'latitude': 47.626125, 'longitude': -122.34872}",Queens Oaks,True,2.0,False,,2300,,,2.0,,,,47.626125,-122.34872,4,62.3321554770318,Pike Grocery,351,314,,,First Hill Park,473.0,486.0,,"{'lat': 47.6119174, 'lng': -122.3255448}",1266,343,,1227,1034,,6445,809,,10515,2297,
SLU,am0684krr2k5,/apartments/seattle-wa/the-cairns/5Xk283/,"422 Yale Ave N, Seattle, WA",422 Yale Ave N  # 1504,Seattle,WA,98109,"{'latitude': 47.622467, 'longitude': -122.33007}",The Cairns,True,2.0,True,,2604,,,2.0,,,,47.622467,-122.33007,8,23.356890459363957,Whole Foods Market,316,296,,,Tashkent Park,478.0,414.0,,"{'lat': 47.6238093, 'lng': -122.3233974}",802,220,,589,478,,4737,686,,6119,2018,
SLU,4uq1w5ugn5181,/apartments/seattle-wa/union-slu/95xHNT/,"905 Dexter Ave N, Seattle, WA",905 Dexter Ave  N  # L332,Seattle,WA,98109,"{'latitude': 47.627815, 'longitude': -122.34273}",Union SLU,True,9.0,False,,4033,,,2.0,,,,47.627815,-122.34273,5,50.918727915194346,Pike Grocery,912,790,,,Cal Anderson Park,188.0,163.0,,"{'lat': 47.61701849999999, 'lng': -122.319127}",963,286,,1025,548,,6599,716,,10525,2199,
SLU,b2d81ux43u19,/apartments/seattle-wa/taylor-28/5Xj9gd/,"100 Taylor Ave N, Seattle, WA",100 Taylor Ave  N  # B203,Seattle,WA,98109,"{'latitude': 47.6191, 'longitude': -122.3461}",Taylor 28,True,5.0,True,,3106,,,2.0,,,,47.6191,-122.3461,2,86.57243816254417,Trader Joe's,860,825,,,First Hill Park,305.0,268.0,,"{'lat': 47.6119174, 'lng': -122.3255448}",1201,336,,1271,754,,7336,826,,7599,2126,
SLU,50d658jqm41c,/apartments/seattle-wa/chroma/BK36fD/,"1212 Harrison St, Seattle, WA",1212 Harrison St # 103-P,Seattle,WA,98109,"{'latitude': 47.622112, 'longitude': -122.332634}",Chroma,True,25.0,False,,2621,,,2.0,,,,47.622112,-122.332634,4,62.3321554770318,Pike Grocery,986,847,,,Tashkent Park,543.0,535.0,,"{'lat': 47.6238093, 'lng': -122.3233974}",534,149,,384,292,,5589,618,,5852,1804,
SLU,4fefanrn8u3yu,/apartments/seattle-wa/the-illiad/5jDznD/,"112 Bellevue Ave E, Seattle, WA",112 Bellevue Ave  E  Apt 307,Seattle,WA,98102,"{'latitude': 47.619022, 'longitude': -122.3263}",The Illiad,True,2.0,False,,3055,,,3.0,,,,47.619022,-122.3263,3,74.59363957597174,Whole Foods Market,315,295,,,Tashkent Park,371.0,344.0,,"{'lat': 47.6238093, 'lng': -122.3233974}",1338,393,,1363,804,,6172,566,,6063,1128,3.0
SLU,2dwzzs20y8hme,/apartments/seattle-wa/alley-south-lake-union/5XrWJf/,"241 Yale Ave N, Seattle, WA",241 Yale Ave  N  # 533,Seattle,WA,98109,"{'latitude': 47.62028, 'longitude': -122.3314}",Alley South Lake Union,True,5.0,False,,3465,,,2.0,,,,47.62028,-122.3314,2,86.57243816254417,Pike Grocery,959,827,,,First Hill Park,574.0,541.0,,"{'lat': 47.6119174, 'lng': -122.3255448}",686,211,,645,489,,5122,740,,8679,1539,
SLU,tk9e4e57mmh1,/apartments/seattle-wa/ben-lomond/5XmyBs/,"1027 Bellevue Ct E, Seattle, WA",1027 Bellevue Ct E  Apt 405,Seattle,WA,98102,"{'latitude': 47.6275, 'longitude': -122.32743}",Ben Lomond,True,4.0,False,,1895,,,2.0,,,,47.6275,-122.32743,6,39.46996466431095,Pike Grocery,1038,903,,,Thomas Street Gardens P-Patch,555.0,516.0,,"{'lat': 47.6213061, 'lng': -122.319346}",1732,391,,2232,1475,,4143,579,,6819,1771,3.0
SLU,44vtqcmktaem1,/apartments/seattle-wa/grv-grandview-apartments/5jF24Y/,"409 Eastlake Ave E, Seattle, WA",409 Eastlake Ave  E  Apt 405,Seattle,WA,98109,"{'latitude': 47.622303, 'longitude': -122.32935}",GRV Grandview Apartments,True,3.0,False,,1595,,,2.0,,,,47.622303,-122.32935,4,62.3321554770318,Pike Grocery,558,473,,,Summit Place,141.0,120.0,,"{'lat': 47.62708, 'lng': -122.325707}",833,221,,654,530,,4706,656,,8812,1635,
SLU,64u510pwyeka,/b/borsen-residences-403-seattle-wa-5jF2nm/,"515 Summit Ave E, Seattle, WA",515 Summit Ave  E  Apt 403,Seattle,WA,98102,"{'latitude': 47.62363, 'longitude': -122.325676}",Borsen Residences - 403,True,2.0,False,,3490,,,2.0,,,,47.62363,-122.325676,9,17.73851590106007,Pike Grocery,874,770,,,Tashkent Park,395.0,376.0,,"{'lat': 47.6238093, 'lng': -122.3233974}",1883,468,,1941,1233,,4655,661,,6363,1347,3.0
SLU,r620b5m8ejsh,/b/522-hs-lewis-seattle-wa-9P5wtp/,"522 Prospect St, Seattle, WA",522 Prospect St # 526,Seattle,WA,98109,"{'latitude': 47.6291, 'longitude': -122.34644}",522 Hs Lewis,True,2.0,False,,2100,,,2.0,,,,47.6291,-122.34644,11,7.738515901060069,Safeway,1817,988,,,First Hill Park,268.0,228.0,,"{'lat': 47.6119174, 'lng': -122.3255448}",1412,353,,1755,1046,,6591,819,,10793,2280,
SLU,4zac1u7dp0r0w,/b/108-dexter-ave-n-seattle-wa-9VWjLZ/,"108 Dexter Ave N, Seattle, WA",108 Dexter Ave N  # 501,Seattle,WA,98109,"{'latitude': 47.61901, 'longitude': -122.3424}",,True,5.0,False,,2040,,,2.0,,,,47.61901,-122.3424,2,86.57243816254417,Pike Grocery,1039,901,,,Summit Place,61.0,56.0,,"{'lat': 47.62708, 'lng': -122.325707}",923,228,,1005,590,,7069,758,,7463,2004,
